,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,accountID,accountCreatedAt,tweetID
21,Camisotomayor18,📍Lima ❤️💩,,218,7,335,1001,The Way He Looks at her 😭#HouseOfTheDragon https://t.co/5C3vFaK5r4,['HouseOfTheDragon'],2020-06-01 15:38:25+00:00,1267480551361073154,1583457249993043970
22,doitnow96,No mas miedo,,122,36,10778,2250,El live action de Shrek pinta muy bien. #HouseOfTheDragon https://t.co/HzZ01T8nPI,['HouseOfTheDragon'],2013-07-07 18:25:46+00:00,1575739368,1583457247208026112
23,Carlos94rv,ドドド,,200,151,20509,3849,Shrek walked so #HouseOfTheDragon could run https://t.co/INyRh2NdRW,['HouseOfTheDragon'],2012-04-20 02:00:52+00:00,558232748,1583457245873831936
24,YKantAngelRead,Angel. They/she. Taurus. 25. 🏳️‍⚧️,"Charlotte, NC",2204,1993,90102,150,"🎶Unleash the Dragon🎶

#HouseOfTheDragon #HOTD #DragonsYall https://t.co/63eSlLpVPV","['HouseOfTheDragon', 'HOTD', 'DragonsYall']",2011-09-12 01:29:41+00:00,372052574,1583457244871790598
25,lexascrew,"Joined for Lexa, ended up being a massive #TeenageBountyHunters fan | #HOTD brainrot era",,248,170,15033,0,Won’t be able to watch the #HouseOfTheDragon finale until maybe Thursday ‘cause of a work event 🥲🥲🥲,['HouseOfTheDragon'],2020-09-23 01:43:52+00:00,1308582771741261829,1583457240291213315
26,Odell4Eva,22| ♋| I write sometimes| Twitter's my only escape from reality| He/Him| Biomedical Student,pɐǝɥ ʎɯ uı,322,338,3875,3849,Shrek walked so #HouseOfTheDragon could run https://t.co/INyRh2NdRW,['HouseOfTheDragon'],2020-05-07 21:17:41+00:00,1258506246480695297,1583457240257683456
27,Camisotomayor18,📍Lima ❤️💩,,218,7,335,378,"thinking about Emma D'Arcy narrating the intro of #HouseoftheDragon with their velvety voice
https://t.co/lXhJWZc3y2",['HouseoftheDragon'],2020-06-01 15:38:25+00:00,1267480551361073154,1583457237301096448
28,teegeee__,Talking shit from a js ✈️,CLT,226,565,21078,7084,"Me watching how the war that kills all the dragons is based on a fucking misunderstanding 
#HouseOfTheDragon https://t.co/0PsRh9O6sV",['HouseOfTheDragon'],2020-12-08 06:24:11+00:00,1336194794691960835,1583457237288120321
29,felipebini,"Tradutor freelance, advogado, editor do @sitegeloefogo, torcedor do @atletico

Comentando #HotD no podcast Canções de Gelo & Fogo https://t.co/egKgRZbR3F","Belo Horizonte, Brazil",996,1904,34070,2,"Seems like #HouseOfTheDragon Blu-ray will have only two featurettes. No commentary tracks, deleted scenes, inside episodes, documentaries or cartoons https://t.co/5adqW990WW",['HouseOfTheDragon'],2009-04-18 00:16:20+00:00,32679186,1583457236554510337
30,whenbatmenfly,he/him / 🏳️‍🌈 / DC / Marvel / Star Trek / Star Wars / Eurovision / Lady Gaga,"Berlin, Germany",3463,2047,22903,326,"Google Emma D’Arcy and Olivia Cooke and watch what happens… 

A Negroni… Spagliato… with Prosecco in it! 😂 #HouseOfTheDragon https://t.co/P0waHozmk6",['HouseOfTheDragon'],2012-09-04 19:42:06+00:00,803073308,1583457230879223808
31,Yoyi_aponte,"Nacido y malcriado en la capital del sentimiento. Soy el único que está contigo, cuando todo se terminó",,2054,2244,177820,2,De The Crown a #HouseOfTheDragon https://t.co/p3RPTuwmwc,['HouseOfTheDragon'],2013-03-29 15:28:12+00:00,1314172561,1583457226731454466
